name_of_run,tplh,tphl,trise,tfall,avgp,avgp_rise,avgp_fall,avgp_leakage_out_1,avgp_leakage_out_0,tp_avg,score,tp_avg_d,avgp_d
Otimizado W=1.4u & 3:1,5.4397e-10,7.7781e-10,8.4032e-10,9.1407e-10,0.00035804,0.010683,0.00026657,0.0001854,0.00022653,6.6089e-10,80,0.0,0.0
Otimizado W=1.4u & 2:1 & INV 3:1,5.4025e-10,8.4527e-10,8.4036e-10,9.386e-10,0.00033813,0.010693,0.00034812,0.00013334,0.00018369,6.9276e-10,86,4.822285100394924,-5.560831192045579
Otimizado W=1.4u & 2:1,6.6044e-10,7.6511e-10,1.2105e-09,3.9854e-08,0.00032779,0.0073048,0.00026319,0.00013341,0.00018585,7.12775e-10,107,7.850776982553826,-8.44877667299743
W=2.8u & 3:1,6.5326e-10,9.4594e-10,1.2092e-09,1.3399e-09,0.00039138,0.0072862,0.00011173,0.00017622,0.00034536,7.996e-10,114,20.988364175581417,9.31180873645402
W=2.8u & 2:1,8.638e-10,9.0868e-10,1.7891e-09,1.3388e-09,0.00035133,0.0048975,8.4189e-05,0.00012587,0.00027115,8.8624e-10,117,34.09795881311566,-1.8740922801921558
3:1 W=1.4u & INV 3:1 W=2.8u,7.8504e-10,1.0078e-09,1.2328e-09,1.3441e-09,0.00030544,0.0072005,9.5469e-05,8.7273e-05,0.00015149,8.9642e-10,120,35.638305920803774,-14.691095966931078
2:1 W=1.4u & INV 3:1 W=2.8u,7.7796e-10,1.0302e-09,1.2326e-09,1.3511e-09,0.00028987,0.0072006,9.6294e-05,6.2049e-05,0.00011786,9.0408e-10,123,36.79734902933924,-19.03977209250363
W=1.4u & INV 4:1,9.2143e-10,1.7119e-09,1.7965e-09,2.7147e-09,0.00026433,0.0048923,2.1313e-05,3.4443e-05,8.7806e-05,1.316665e-09,137,99.22604366838658,-26.17305329013518
W=1.4u & 3:1,1.1542e-09,1.6077e-09,2.3862e-09,2.7048e-09,0.00029878,0.0036745,1.8426e-05,8.7211e-05,0.00017073,1.3809499999999999e-09,152,108.9530784245487,-16.551223327002567
W=1.4u & 4:1,1.1542e-09,1.6077e-09,2.3862e-09,2.7048e-09,0.00029878,0.0036745,1.8426e-05,8.7211e-05,0.00017073,1.3809499999999999e-09,152,108.9530784245487,-16.551223327002567
W=1.4u & INV 3:1,1.1422e-09,1.6539e-09,2.3862e-09,2.7106e-09,0.00026166,0.0036742,1.77e-05,3.4416e-05,8.954e-05,1.3980500000000002e-09,158,111.54049841879892,-26.918780024578265
W=1.4u & 2:1,1.6339e-09,1.5695e-09,3.5996e-09,2.7036e-09,0.00027867,0.0024316,1.3774e-05,6.2013e-05,0.00013334,1.6017e-09,169,142.3550061281,-22.167914199530777
W=1.4u & INV 2:1,1.6266e-09,1.5963e-09,3.5996e-09,2.707e-09,0.00025902,0.0024317,1.4234e-05,3.4398e-05,9.1204e-05,1.6114499999999998e-09,175,143.8302894581549,-27.65612780694895
W=1.4u all,3.26e-09,1.5386e-09,7.4158e-09,2.7038e-09,0.00025499,0.0011849,1.105e-05,3.58e-05,8.8587e-05,2.3993e-09,179,263.0407480821317,-28.781700368673885
